Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
136,278528,10.246715,1.4354,0.3045,0.5616,623.62,0.0
137,280576,10.833676,1.1086,0.4489,0.5818,919.40,0.0
138,282624,10.815789,1.2848,0.3494,0.6407,715.50,0.0
139,284672,10.710980,0.6904,0.4548,0.5608,931.50,0.0
140,286720,10.780266,1.1880,0.3896,0.5980,798.00,0.0
141,288768,10.906042,0.8186,0.3807,0.6045,779.78,0.0
142,290816,10.784037,0.1862,0.5153,0.5789,1055.25,0.0
143,292864,10.917818,1.8930,0.3927,0.6228,804.25,0.0
144,294912,10.866876,1.1742,0.5035,0.5575,1031.20,0.0
145,296960,10.882670,0.9131,0.4323,0.5920,885.28,0.0
146,299008,10.770765,0.6164,0.4806,0.6051,984.30,0.0
147,301056,10.909718,2.0324,0.3955,0.5612,810.05,0.0
148,303104,11.029975,1.1447,0.4226,0.5851,865.58,0.0
149,305152,11.014250,0.7216,0.4208,0.5271,861.82,0.0
150,307200,10.709839,0.7007,0.3473,0.6120,711.18,0.0
151,309248,11.089710,0.9825,0.5263,0.5110,1077.90,0.0
152,311296,10.695821,1.7340,0.4259,0.5919,872.15,0.0
153,313344,10.833297,0.8179,0.5211,0.5940,1067.22,0.0
154,315392,10.671900,1.2663,0.4424,0.5485,906.05,0.0
155,317440,10.677610,1.5929,0.3881,0.5363,794.78,0.0
156,319488,10.786689,0.9733,0.3060,0.5046,626.61,5.25
157,321536,10.815008,0.5815,0.4182,0.5497,856.50,0.0
158,323584,10.960968,0.6056,0.3003,0.4980,614.93,5.5
159,325632,10.726546,0.5360,0.3195,0.5159,654.38,0.0
160,327680,10.663687,1.4521,0.4493,0.5785,920.22,0.0
161,329728,10.951971,1.9363,0.4269,0.5685,874.32,0.0
162,331776,10.841172,0.8782,0.4324,0.5487,885.55,0.0
163,333824,10.495475,0.5947,0.4631,0.5853,948.38,0.0
164,335872,10.863539,0.9205,0.5288,0.5650,1083.05,0.0
165,337920,10.749848,1.7378,0.3852,0.5633,788.85,0.0
166,339968,10.936364,0.7625,0.4889,0.5448,1001.27,0.0
167,342016,10.248646,0.9586,0.3379,0.5274,692.05,5.5
168,344064,10.962824,1.5596,0.3996,0.6172,818.35,0.0
169,346112,10.984853,1.1595,0.4900,0.6013,1003.55,0.0
170,348160,10.822253,1.1301,0.5133,0.5924,1051.30,0.0
171,350208,10.265678,1.2124,0.5461,0.5723,1118.40,0.0
172,352256,11.013739,1.1390,0.5587,0.5916,1144.28,0.0
173,354304,10.866806,1.2081,0.5487,0.5734,1123.82,0.0
174,356352,10.942431,1.4397,0.4874,0.5603,998.23,0.0
175,358400,10.788812,0.9216,0.3797,0.5608,777.72,5.5
176,360448,10.910913,1.3823,0.4117,0.6102,843.12,0.0
177,362496,10.842819,0.9033,0.4841,0.5843,991.50,0.0
178,364544,10.976847,1.3179,0.4542,0.5897,930.15,0.0
179,366592,10.941493,1.1362,0.3813,0.5764,781.00,0.0
180,368640,11.233760,1.2223,0.4053,0.5710,830.15,0.0
181,370688,11.157681,1.0749,0.4365,0.5580,893.93,0.0
182,372736,10.528215,1.4745,0.4516,0.5753,924.80,0.0
183,374784,10.653392,0.7658,0.4579,0.5898,937.70,0.0
184,376832,11.105559,0.6597,0.5295,0.5615,1084.38,0.0
185,378880,10.952915,1.3737,0.5520,0.5436,1130.45,0.0
186,380928,10.662252,2.0315,0.4209,0.5315,862.03,0.0
187,382976,10.851219,1.0566,0.4196,0.5916,859.25,0.0
188,385024,10.777070,0.7979,0.5278,0.5632,1080.95,0.0
189,387072,10.904368,1.3351,0.4255,0.5607,871.32,0.0
190,389120,10.838513,1.0317,0.4222,0.5746,864.62,0.0
191,391168,10.816119,0.9411,0.4216,0.6155,863.47,0.0
192,393216,10.919617,0.7536,0.4987,0.5774,1021.33,0.0
193,395264,10.585294,1.4174,0.3537,0.5143,724.46,5.25
194,397312,10.305010,0.7198,0.4477,0.5274,916.90,0.0
195,399360,10.809147,0.9263,0.4586,0.6212,939.30,0.0
196,401408,10.888466,0.9438,0.4993,0.5517,1022.53,0.0
197,403456,11.090555,1.4365,0.5500,0.5337,1126.43,0.0
198,405504,10.636594,0.5615,0.3886,0.5511,795.80,0.0
199,407552,10.634454,0.9504,0.3587,0.5827,734.68,0.0
200,409600,11.037614,0.4323,0.4476,0.5604,916.65,0.0
201,411648,10.933894,0.6509,0.4043,0.5200,827.95,0.0
